is_customer,duration_mths,credit_hist,purpose,credit_amt,savings,employed,installment_rate_pct,sex_status,guarantors,same_resid_since,property,age,other_installment_plans,housing,n_credits_this_bank,job,dependents,phone,foreign_worker,target
<0,18,no credits taken/ all paid,business,3104,< 100k,4 - 7 years,3,male:single,none,1,if not A121 : building society savings agreement/ life insurance,31,bank,own,1,skilled employee / official,1,yes,yes,1
>= 200k,36,exist paid till now,radio/television,3913,< 100k,1 - 4 years  ,2,male:single,none,2,real estate,23,none,own,1,skilled employee / official,1,yes,yes,1
<0,24,exist paid till now,furniture/equipment,3021,< 100k,1 - 4 years  ,2,male:divorced/separated,none,2,real estate,24,none,rent,1,unskilled - resident,1,no,yes,1
no checking account,10,exist paid till now,car (new),1364,< 100k,1 - 4 years  ,2,female:divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",64,none,own,1,skilled employee / official,1,yes,yes,1
0 - 200k,12,exist paid till now,radio/television,625,< 100k,< 1 year,4,male:married/widowed,guarantor,1,real estate,26,bank,own,1,unskilled - resident,1,no,yes,1
<0,12,exist paid till now,education,1200,unknown/ no savings account,1 - 4 years  ,4,female:divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,23,bank,rent,1,skilled employee / official,1,yes,yes,1
no checking account,12,exist paid till now,radio/television,707,< 100k,1 - 4 years  ,4,male:single,none,2,real estate,30,bank,own,2,skilled employee / official,1,no,yes,1
no checking account,24,delay in paying off in the past,business,2978,unknown/ no savings account,1 - 4 years  ,4,male:single,none,4,real estate,32,none,own,2,skilled employee / official,2,yes,yes,1
no checking account,15,exist paid till now,car (used),4657,< 100k,1 - 4 years  ,3,male:single,none,2,"if not A121/A122 : car or other, not in attribute 6",30,none,own,1,skilled employee / official,1,yes,yes,1
no checking account,36,no credits taken/ all paid,repairs,2613,< 100k,1 - 4 years  ,4,male:single,none,2,"if not A121/A122 : car or other, not in attribute 6",27,none,own,2,skilled employee / official,1,no,yes,1
0 - 200k,48,exist paid till now,radio/television,10961,>= 1M,4 - 7 years,1,male:single,co-applicant,2,unknown / no property,27,bank,own,2,skilled employee / official,1,yes,yes,0
<0,12,exist paid till now,furniture/equipment,7865,< 100k,>= 7 years,4,male:single,none,4,unknown / no property,53,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,yes,yes,0
no checking account,9,exist paid till now,radio/television,1478,< 100k,4 - 7 years,4,male:single,none,2,"if not A121/A122 : car or other, not in attribute 6",22,none,own,1,skilled employee / official,1,no,yes,0
<0,24,exist paid till now,furniture/equipment,3149,< 100k,< 1 year,4,male:single,none,1,unknown / no property,22,bank,for free,1,skilled employee / official,1,no,yes,1
>= 200k,36,exist paid till now,radio/television,4210,< 100k,1 - 4 years  ,4,male:single,none,2,"if not A121/A122 : car or other, not in attribute 6",26,none,own,1,skilled employee / official,1,no,yes,0
no checking account,9,exist paid till now,car (new),2507,500k - 1M,>= 7 years,2,male:single,none,4,unknown / no property,51,none,for free,1,unskilled - resident,1,no,yes,1
no checking account,12,exist paid till now,radio/television,2141,100k - 500k,4 - 7 years,3,male:single,none,1,unknown / no property,35,none,own,1,skilled employee / official,1,no,yes,1
0 - 200k,18,exist paid till now,radio/television,866,< 100k,1 - 4 years  ,4,male:married/widowed,guarantor,2,real estate,25,none,own,1,unskilled - resident,1,no,yes,1
no checking account,4,critical account/  other credits existing (not at this bank),radio/television,1544,< 100k,4 - 7 years,2,male:single,none,1,real estate,42,none,own,3,unskilled - resident,2,no,yes,1
<0,24,exist paid till now,radio/television,1823,< 100k,unemployed,4,male:single,none,2,"if not A121/A122 : car or other, not in attribute 6",30,stores,own,1,management/ self-employed/ highly qualified employee/ officer,2,no,yes,0
0 - 200k,6,exist paid till now,car (new),14555,unknown/ no savings account,unemployed,1,male:single,none,2,if not A121 : building society savings agreement/ life insurance,23,none,own,1,unemployed/ unskilled  - non-resident,1,yes,yes,0
0 - 200k,21,exist paid till now,business,2767,100k - 500k,>= 7 years,4,male:divorced/separated,none,2,"if not A121/A122 : car or other, not in attribute 6",61,bank,rent,2,unskilled - resident,1,no,yes,0
no checking account,12,critical account/  other credits existing (not at this bank),radio/television,1291,< 100k,1 - 4 years  ,4,female:divorced/separated/married,none,2,if not A121 : building society savings agreement/ life insurance,35,none,own,2,skilled employee / official,1,no,yes,1
<0,30,exist paid till now,radio/television,2522,< 100k,>= 7 years,1,male:single,guarantor,3,if not A121 : building society savings agreement/ life insurance,39,none,own,1,skilled employee / official,2,no,yes,1
<0,24,exist paid till now,car (new),915,unknown/ no savings account,>= 7 years,4,female:divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",29,bank,own,1,skilled employee / official,1,no,yes,0
no checking account,6,exist paid till now,radio/television,1595,< 100k,4 - 7 years,3,male:single,none,2,if not A121 : building society savings agreement/ life insurance,51,none,own,1,skilled employee / official,2,no,yes,1
<0,48,no credits taken/ all paid,car (used),4605,< 100k,>= 7 years,3,male:single,none,4,unknown / no property,24,none,for free,2,skilled employee / official,2,no,yes,0
no checking account,12,critical account/  other credits existing (not at this bank),business,1185,< 100k,1 - 4 years  ,3,female:divorced/separated/married,none,2,real estate,27,none,own,2,skilled employee / official,1,no,yes,1
no checking account,12,this bank all paid,retraining,3447,500k - 1M,1 - 4 years  ,4,female:divorced/separated/married,none,3,real estate,35,none,own,1,unskilled - resident,2,no,yes,1
no checking account,24,exist paid till now,business,1258,< 100k,4 - 7 years,4,male:single,none,1,real estate,25,none,own,1,skilled employee / official,1,yes,yes,1
no checking account,12,critical account/  other credits existing (not at this bank),radio/television,717,< 100k,>= 7 years,4,male:single,none,4,real estate,52,none,own,3,skilled employee / official,1,no,yes,1
no checking account,6,no credits taken/ all paid,car (new),1204,100k - 500k,1 - 4 years  ,4,male:single,none,1,unknown / no property,35,bank,rent,1,skilled employee / official,1,no,no,1
>= 200k,24,exist paid till now,furniture/equipment,1925,< 100k,1 - 4 years  ,2,male:single,none,2,real estate,26,none,own,1,skilled employee / official,1,no,yes,1
no checking account,18,exist paid till now,radio/television,433,< 100k,unemployed,3,female:divorced/separated/married,co-applicant,4,real estate,22,none,rent,1,skilled employee / official,1,no,yes,0
<0,6,critical account/  other credits existing (not at this bank),car (new),666,>= 1M,4 - 7 years,3,female:divorced/separated/married,none,4,real estate,39,none,own,2,unskilled - resident,1,yes,yes,1
>= 200k,12,exist paid till now,furniture/equipment,2251,< 100k,1 - 4 years  ,1,female:divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",46,none,own,1,unskilled - resident,1,no,yes,1
0 - 200k,30,exist paid till now,car (new),2150,< 100k,1 - 4 years  ,4,female:divorced/separated/married,guarantor,2,unknown / no property,24,bank,own,1,skilled employee / official,1,no,yes,0
no checking account,24,delay in paying off in the past,furniture/equipment,4151,100k - 500k,1 - 4 years  ,2,male:single,none,3,if not A121 : building society savings agreement/ life insurance,35,none,own,2,skilled employee / official,1,no,yes,1
0 - 200k,9,exist paid till now,furniture/equipment,2030,unknown/ no savings account,4 - 7 years,2,male:single,none,1,"if not A121/A122 : car or other, not in attribute 6",24,none,own,1,skilled employee / official,1,yes,yes,1
0 - 200k,60,delay in paying off in the past,radio/television,7418,unknown/ no savings account,1 - 4 years  ,1,male:single,none,1,real estate,27,none,own,1,unskilled - resident,1,no,yes,1
no checking account,24,critical account/  other credits existing (not at this bank),radio/television,2684,< 100k,1 - 4 years  ,4,male:single,none,2,real estate,35,none,own,2,unskilled - resident,1,no,yes,1
<0,12,this bank all paid,radio/television,2149,< 100k,1 - 4 years  ,4,male:divorced/separated,none,1,unknown / no property,29,none,for free,1,skilled employee / official,1,no,yes,0
no checking account,15,exist paid till now,car (used),3812,100k - 500k,< 1 year,1,female:divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",23,none,own,1,skilled employee / official,1,yes,yes,1
no checking account,11,critical account/  other credits existing (not at this bank),radio/television,1154,100k - 500k,unemployed,4,female:divorced/separated/married,none,4,real estate,57,none,own,3,unskilled - resident,1,no,yes,1
<0,12,exist paid till now,furniture/equipment,1657,< 100k,1 - 4 years  ,2,male:single,none,2,real estate,27,none,own,1,skilled employee / official,1,no,yes,1
<0,24,exist paid till now,radio/television,1603,< 100k,>= 7 years,4,female:divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",55,none,own,1,skilled employee / official,1,no,yes,1
<0,18,critical account/  other credits existing (not at this bank),car (new),5302,< 100k,>= 7 years,2,male:single,none,4,unknown / no property,36,none,for free,3,management/ self-employed/ highly qualified employee/ officer,1,yes,yes,1
no checking account,12,critical account/  other credits existing (not at this bank),education,2748,< 100k,>= 7 years,2,female:divorced/separated/married,none,4,unknown / no property,57,bank,for free,3,unskilled - resident,1,no,yes,1
no checking account,10,critical account/  other credits existing (not at this bank),car (new),1231,< 100k,>= 7 years,3,male:single,none,4,real estate,32,none,own,2,unskilled - resident,2,no,no,1
0 - 200k,15,exist paid till now,radio/television,802,< 100k,>= 7 years,4,male:single,none,3,"if not A121/A122 : car or other, not in attribute 6",37,none,own,1,skilled employee / official,2,no,yes,0
no checking account,36,critical account/  other credits existing (not at this bank),business,6304,unknown/ no savings account,>= 7 years,4,male:single,none,4,real estate,36,none,own,2,skilled employee / official,1,no,yes,1
no checking account,24,exist paid till now,radio/television,1533,< 100k,< 1 year,4,female:divorced/separated/married,none,3,"if not A121/A122 : car or other, not in attribute 6",38,stores,own,1,skilled employee / official,1,yes,yes,1
<0,14,exist paid till now,car (new),8978,< 100k,>= 7 years,1,male:divorced/separated,none,4,if not A121 : building society savings agreement/ life insurance,45,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,yes,no,0
no checking account,24,exist paid till now,radio/television,999,unknown/ no savings account,>= 7 years,4,male:single,none,2,"if not A121/A122 : car or other, not in attribute 6",25,none,own,2,skilled employee / official,1,no,yes,1
no checking account,18,exist paid till now,car (new),2662,unknown/ no savings account,4 - 7 years,4,male:single,none,3,if not A121 : building society savings agreement/ life insurance,32,none,own,1,skilled employee / official,1,no,no,1
no checking account,12,critical account/  other credits existing (not at this bank),furniture/equipment,1402,500k - 1M,4 - 7 years,3,female:divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",37,none,rent,1,skilled employee / official,1,yes,yes,1
0 - 200k,48,this bank all paid,car (new),12169,unknown/ no savings account,unemployed,4,male:single,co-applicant,4,unknown / no property,36,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,yes,yes,1
0 - 200k,48,exist paid till now,radio/television,3060,< 100k,4 - 7 years,4,male:single,none,4,real estate,28,none,own,2,skilled employee / official,1,no,yes,0
<0,30,exist paid till now,repairs,11998,< 100k,< 1 year,1,male:divorced/separated,none,1,unknown / no property,34,none,own,1,unskilled - resident,1,yes,yes,0
no checking account,9,exist paid till now,radio/television,2697,< 100k,1 - 4 years  ,1,male:single,none,2,real estate,32,none,own,1,skilled employee / official,2,no,yes,1
no checking account,18,critical account/  other credits existing (not at this bank),radio/television,2404,< 100k,1 - 4 years  ,2,female:divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",26,none,own,2,skilled employee / official,1,no,yes,1
<0,12,exist paid till now,furniture/equipment,1262,unknown/ no savings account,>= 7 years,2,male:divorced/separated,none,4,if not A121 : building society savings agreement/ life insurance,49,none,own,1,unskilled - resident,1,yes,yes,1
no checking account,6,exist paid till now,furniture/equipment,4611,< 100k,< 1 year,1,female:divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,32,none,own,1,skilled employee / official,1,no,yes,0
no checking account,24,exist paid till now,radio/television,1901,100k - 500k,1 - 4 years  ,4,male:single,none,4,"if not A121/A122 : car or other, not in attribute 6",29,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,yes,yes,1
no checking account,15,critical account/  other credits existing (not at this bank),car (used),3368,>= 1M,>= 7 years,3,male:single,none,4,unknown / no property,23,none,rent,2,skilled employee / official,1,yes,yes,1
no checking account,12,exist paid till now,furniture/equipment,1574,< 100k,1 - 4 years  ,4,male:single,none,2,real estate,50,none,own,1,skilled employee / official,1,no,yes,1
>= 200k,18,this bank all paid,radio/television,1445,unknown/ no savings account,4 - 7 years,4,male:single,none,4,"if not A121/A122 : car or other, not in attribute 6",49,bank,own,1,unskilled - resident,1,no,yes,1
no checking account,15,critical account/  other credits existing (not at this bank),furniture/equipment,1520,unknown/ no savings account,>= 7 years,4,male:single,none,4,if not A121 : building society savings agreement/ life insurance,63,none,own,1,skilled employee / official,1,no,yes,1
0 - 200k,24,critical account/  other credits existing (not at this bank),car (new),3878,100k - 500k,< 1 year,4,male:divorced/separated,none,2,"if not A121/A122 : car or other, not in attribute 6",37,none,own,1,skilled employee / official,1,yes,yes,1
<0,47,exist paid till now,car (new),10722,< 100k,< 1 year,1,female:divorced/separated/married,none,1,real estate,35,none,own,1,unskilled - resident,1,yes,yes,1
<0,48,exist paid till now,car (used),4788,< 100k,4 - 7 years,4,male:single,none,3,if not A121 : building society savings agreement/ life insurance,26,none,own,1,skilled employee / official,2,no,yes,1
0 - 200k,48,delay in paying off in the past,others,7582,100k - 500k,unemployed,2,male:single,none,4,unknown / no property,31,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,yes,yes,1
0 - 200k,12,exist paid till now,radio/television,1092,< 100k,1 - 4 years  ,4,female:divorced/separated/married,guarantor,4,real estate,49,none,own,2,skilled employee / official,1,yes,yes,1
<0,24,delay in paying off in the past,radio/television,1024,< 100k,< 1 year,4,male:married/widowed,none,4,real estate,48,stores,own,1,skilled employee / official,1,no,yes,0
no checking account,12,exist paid till now,business,1076,< 100k,1 - 4 years  ,2,male:married/widowed,none,2,real estate,26,none,own,1,skilled employee / official,1,yes,no,1
0 - 200k,36,exist paid till now,car (used),9398,< 100k,< 1 year,1,male:married/widowed,none,4,"if not A121/A122 : car or other, not in attribute 6",28,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,yes,yes,0
<0,24,critical account/  other credits existing (not at this bank),car (used),6419,< 100k,>= 7 years,2,female:divorced/separated/married,none,4,unknown / no property,44,none,for free,2,management/ self-employed/ highly qualified employee/ officer,2,yes,yes,1
>= 200k,42,critical account/  other credits existing (not at this bank),car (used),4796,< 100k,>= 7 years,4,male:single,none,4,unknown / no property,56,none,for free,1,skilled employee / official,1,no,yes,1
no checking account,48,critical account/  other credits existing (not at this bank),business,7629,unknown/ no savings account,>= 7 years,4,male:divorced/separated,none,2,"if not A121/A122 : car or other, not in attribute 6",46,bank,own,2,management/ self-employed/ highly qualified employee/ officer,2,no,yes,1
0 - 200k,48,exist paid till now,furniture/equipment,9960,< 100k,< 1 year,1,female:divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",26,none,own,1,skilled employee / official,1,yes,yes,0
no checking account,12,exist paid till now,car (used),4675,unknown/ no savings account,< 1 year,1,female:divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",20,none,rent,1,skilled employee / official,1,no,yes,1
no checking account,10,exist paid till now,car (new),1287,unknown/ no savings account,>= 7 years,4,male:single,co-applicant,2,if not A121 : building society savings agreement/ life insurance,45,none,own,1,unskilled - resident,1,no,no,1
no checking account,18,exist paid till now,furniture/equipment,2515,< 100k,1 - 4 years  ,3,male:single,none,4,real estate,43,none,own,1,skilled employee / official,1,yes,yes,1
0 - 200k,21,critical account/  other credits existing (not at this bank),furniture/equipment,2745,>= 1M,4 - 7 years,3,male:single,none,2,"if not A121/A122 : car or other, not in attribute 6",32,none,own,2,skilled employee / official,1,yes,yes,1
no checking account,6,exist paid till now,car (new),672,< 100k,unemployed,1,female:divorced/separated/married,none,4,real estate,54,none,own,1,unemployed/ unskilled  - non-resident,1,yes,yes,1
0 - 200k,36,no credits taken/ all paid,radio/television,3804,< 100k,1 - 4 years  ,4,female:divorced/separated/married,none,1,"if not A121/A122 : car or other, not in attribute 6",42,none,own,1,skilled employee / official,1,yes,yes,0
>= 200k,24,critical account/  other credits existing (not at this bank),car (new),1344,unknown/ no savings account,4 - 7 years,4,male:single,none,2,real estate,37,bank,own,2,unskilled - resident,2,no,yes,0
<0,10,critical account/  other credits existing (not at this bank),car (new),1038,< 100k,4 - 7 years,4,male:single,co-applicant,3,if not A121 : building society savings agreement/ life insurance,49,none,own,2,skilled employee / official,1,yes,yes,1
no checking account,48,critical account/  other credits existing (not at this bank),car (new),10127,500k - 1M,1 - 4 years  ,2,male:single,none,2,unknown / no property,44,bank,for free,1,skilled employee / official,1,no,yes,0
no checking account,6,exist paid till now,furniture/equipment,1543,>= 1M,1 - 4 years  ,4,male:divorced/separated,none,2,real estate,33,none,own,1,skilled employee / official,1,no,yes,1
no checking account,30,exist paid till now,car (used),4811,unknown/ no savings account,4 - 7 years,2,female:divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,24,stores,rent,1,unskilled - resident,1,no,yes,1
<0,12,exist paid till now,radio/television,727,100k - 500k,< 1 year,4,male:married/widowed,none,3,unknown / no property,33,none,own,1,unskilled - resident,1,yes,yes,0
0 - 200k,8,exist paid till now,furniture/equipment,1237,< 100k,1 - 4 years  ,3,female:divorced/separated/married,none,4,real estate,24,none,own,1,skilled employee / official,1,no,yes,0
0 - 200k,9,exist paid till now,car (new),276,< 100k,1 - 4 years  ,4,male:married/widowed,none,4,real estate,22,none,rent,1,unskilled - resident,1,no,yes,1
0 - 200k,48,exist paid till now,others,5381,unknown/ no savings account,unemployed,3,male:single,none,4,unknown / no property,40,bank,for free,1,unemployed/ unskilled  - non-resident,1,yes,yes,1
no checking account,24,exist paid till now,furniture/equipment,5511,100k - 500k,1 - 4 years  ,4,male:single,none,1,"if not A121/A122 : car or other, not in attribute 6",25,stores,own,1,skilled employee / official,1,no,yes,1
>= 200k,24,exist paid till now,furniture/equipment,3749,< 100k,< 1 year,2,female:divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",26,none,own,1,skilled employee / official,1,no,yes,1
0 - 200k,12,exist paid till now,car (new),685,< 100k,4 - 7 years,2,male:married/widowed,none,3,"if not A121/A122 : car or other, not in attribute 6",25,bank,own,1,unskilled - resident,1,no,yes,0
>= 200k,4,exist paid till now,car (new),1494,unknown/ no savings account,< 1 year,1,male:single,none,2,real estate,29,none,own,1,unskilled - resident,2,no,no,1
<0,36,this bank all paid,furniture/equipment,2746,< 100k,>= 7 years,4,male:single,none,4,"if not A121/A122 : car or other, not in attribute 6",31,bank,own,1,skilled employee / official,1,no,yes,0
<0,12,exist paid till now,furniture/equipment,708,< 100k,1 - 4 years  ,2,male:single,guarantor,3,if not A121 : building society savings agreement/ life insurance,38,none,own,1,unskilled - resident,2,no,yes,1
0 - 200k,24,exist paid till now,furniture/equipment,4351,unknown/ no savings account,1 - 4 years  ,1,female:divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,48,none,own,1,unskilled - resident,1,yes,yes,1
no checking account,12,critical account/  other credits existing (not at this bank),education,701,< 100k,1 - 4 years  ,4,male:single,none,2,"if not A121/A122 : car or other, not in attribute 6",32,none,own,2,skilled employee / official,1,no,yes,1
<0,15,delay in paying off in the past,furniture/equipment,3643,< 100k,>= 7 years,1,female:divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,27,none,own,2,unskilled - resident,1,no,yes,1
0 - 200k,30,critical account/  other credits existing (not at this bank),car (new),4249,< 100k,unemployed,4,male:married/widowed,none,2,"if not A121/A122 : car or other, not in attribute 6",28,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,no,yes,0
<0,24,exist paid till now,radio/television,1938,< 100k,< 1 year,4,male:divorced/separated,none,3,if not A121 : building society savings agreement/ life insurance,32,none,own,1,skilled employee / official,1,no,yes,0
<0,24,exist paid till now,car (used),2910,< 100k,4 - 7 years,2,male:single,none,1,unknown / no property,34,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,yes,yes,1
<0,18,exist paid till now,furniture/equipment,2659,>= 1M,1 - 4 years  ,4,male:single,none,2,"if not A121/A122 : car or other, not in attribute 6",28,none,own,1,skilled employee / official,1,no,yes,1
no checking account,18,critical account/  other credits existing (not at this bank),car (new),1028,< 100k,1 - 4 years  ,4,female:divorced/separated/married,none,3,real estate,36,none,own,2,skilled employee / official,1,no,yes,1
<0,8,critical account/  other credits existing (not at this bank),car (new),3398,< 100k,4 - 7 years,1,male:single,none,4,real estate,39,none,own,2,unskilled - resident,1,no,no,1
no checking account,12,critical account/  other credits existing (not at this bank),furniture/equipment,5801,unknown/ no savings account,>= 7 years,2,male:single,none,4,if not A121 : building society savings agreement/ life insurance,49,none,rent,1,skilled employee / official,1,yes,yes,1
no checking account,24,exist paid till now,car (new),1525,>= 1M,4 - 7 years,4,female:divorced/separated/married,none,3,"if not A121/A122 : car or other, not in attribute 6",34,none,own,1,skilled employee / official,2,yes,yes,1
>= 200k,36,exist paid till now,radio/television,4473,< 100k,>= 7 years,4,male:single,none,2,"if not A121/A122 : car or other, not in attribute 6",31,none,own,1,skilled employee / official,1,no,yes,1
0 - 200k,6,exist paid till now,radio/television,1068,< 100k,>= 7 years,4,male:single,none,4,"if not A121/A122 : car or other, not in attribute 6",28,none,own,1,skilled employee / official,2,no,yes,1
<0,24,critical account/  other credits existing (not at this bank),car (used),6615,< 100k,unemployed,2,male:single,none,4,unknown / no property,75,none,for free,2,management/ self-employed/ highly qualified employee/ officer,1,yes,yes,1
no checking account,18,critical account/  other credits existing (not at this bank),education,1864,100k - 500k,1 - 4 years  ,4,female:divorced/separated/married,none,2,real estate,30,none,own,2,skilled employee / official,1,no,yes,0
0 - 200k,60,exist paid till now,car (new),7408,100k - 500k,< 1 year,4,female:divorced/separated/married,none,2,if not A121 : building society savings agreement/ life insurance,24,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,no,yes,0
no checking account,48,critical account/  other credits existing (not at this bank),car (used),11590,100k - 500k,1 - 4 years  ,2,female:divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",24,bank,rent,2,unskilled - resident,1,no,yes,0
<0,24,no credits taken/ all paid,furniture/equipment,4110,< 100k,>= 7 years,3,male:single,none,4,unknown / no property,23,bank,rent,2,skilled employee / official,2,no,yes,0
<0,6,critical account/  other credits existing (not at this bank),furniture/equipment,3384,< 100k,1 - 4 years  ,1,male:divorced/separated,none,4,real estate,44,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,yes,yes,0
0 - 200k,13,exist paid till now,radio/television,2101,< 100k,< 1 year,2,female:divorced/separated/married,guarantor,4,if not A121 : building society savings agreement/ life insurance,23,none,own,1,unskilled - resident,1,no,yes,1
<0,15,exist paid till now,domestic appliances,1275,unknown/ no savings account,1 - 4 years  ,4,female:divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",24,none,rent,1,skilled employee / official,1,no,yes,0
<0,24,exist paid till now,furniture/equipment,4169,< 100k,1 - 4 years  ,4,male:single,none,4,if not A121 : building society savings agreement/ life insurance,28,none,own,1,skilled employee / official,1,no,yes,1
0 - 200k,10,exist paid till now,furniture/equipment,1521,< 100k,1 - 4 years  ,4,male:divorced/separated,none,2,"if not A121/A122 : car or other, not in attribute 6",31,none,own,1,unskilled - resident,1,no,yes,1
0 - 200k,24,critical account/  other credits existing (not at this bank),education,5743,< 100k,< 1 year,2,female:divorced/separated/married,none,4,unknown / no property,24,none,for free,2,skilled employee / official,1,yes,yes,1
<0,21,exist paid till now,furniture/equipment,3599,< 100k,4 - 7 years,1,female:divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",26,none,rent,1,unskilled - resident,1,no,yes,1
0 - 200k,18,exist paid till now,radio/television,3213,500k - 1M,< 1 year,1,male:married/widowed,none,3,real estate,25,none,rent,1,skilled employee / official,1,no,yes,1
0 - 200k,18,exist paid till now,business,4439,< 100k,>= 7 years,1,male:single,co-applicant,1,real estate,33,bank,own,1,management/ self-employed/ highly qualified employee/ officer,1,yes,yes,1
>= 200k,10,exist paid till now,car (new),3949,< 100k,< 1 year,1,male:single,guarantor,1,if not A121 : building society savings agreement/ life insurance,37,none,own,1,unskilled - resident,2,no,yes,1
no checking account,15,critical account/  other credits existing (not at this bank),radio/television,1459,< 100k,1 - 4 years  ,4,female:divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",43,none,own,1,unskilled - resident,1,no,yes,1
0 - 200k,13,critical account/  other credits existing (not at this bank),radio/television,882,< 100k,< 1 year,4,male:single,guarantor,4,real estate,23,none,own,2,skilled employee / official,1,no,yes,1
0 - 200k,24,exist paid till now,radio/television,3758,500k - 1M,unemployed,1,female:divorced/separated/married,none,4,unknown / no property,23,none,rent,1,unemployed/ unskilled  - non-resident,1,no,yes,1
no checking account,6,delay in paying off in the past,business,1743,100k - 500k,1 - 4 years  ,1,male:single,none,2,real estate,34,none,own,2,unskilled - resident,1,no,yes,1
0 - 200k,9,critical account/  other credits existing (not at this bank),education,1136,>= 1M,>= 7 years,4,male:single,none,3,unknown / no property,32,none,for free,2,skilled employee / official,2,no,yes,0
no checking account,9,exist paid till now,domestic appliances,1236,< 100k,< 1 year,1,female:divorced/separated/married,none,4,real estate,23,none,rent,1,skilled employee / official,1,yes,yes,1
0 - 200k,9,exist paid till now,furniture/equipment,959,< 100k,1 - 4 years  ,1,female:divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",29,none,own,1,skilled employee / official,1,no,no,0
no checking account,18,critical account/  other credits existing (not at this bank),car (used),3229,unknown/ no savings account,unemployed,2,male:single,none,4,unknown / no property,38,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,yes,yes,1
<0,12,no credits taken/ all paid,radio/television,6199,< 100k,1 - 4 years  ,4,male:single,none,2,if not A121 : building society savings agreement/ life insurance,28,none,rent,2,skilled employee / official,1,yes,yes,0
no checking account,10,exist paid till now,education,727,500k - 1M,>= 7 years,4,male:single,none,4,unknown / no property,46,none,for free,1,skilled employee / official,1,yes,yes,1
0 - 200k,24,exist paid till now,car (new),1246,< 100k,< 1 year,4,male:single,none,2,real estate,23,stores,own,1,unskilled - resident,1,no,yes,0
no checking account,12,critical account/  other credits existing (not at this bank),radio/television,2331,unknown/ no savings account,>= 7 years,1,male:single,co-applicant,4,real estate,49,none,own,1,skilled employee / official,1,yes,yes,1
no checking account,36,delay in paying off in the past,radio/television,4463,< 100k,1 - 4 years  ,4,male:single,none,2,"if not A121/A122 : car or other, not in attribute 6",26,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,yes,yes,0
no checking account,12,exist paid till now,radio/television,776,< 100k,1 - 4 years  ,4,male:married/widowed,none,2,real estate,28,none,own,1,skilled employee / official,1,no,yes,1
<0,30,exist paid till now,furniture/equipment,2406,< 100k,4 - 7 years,4,female:divorced/separated/married,none,4,real estate,23,none,rent,1,skilled employee / official,1,no,yes,0
0 - 200k,18,exist paid till now,education,1239,unknown/ no savings account,1 - 4 years  ,4,male:single,none,4,unknown / no property,61,none,for free,1,skilled employee / official,1,no,yes,1
>= 200k,12,exist paid till now,radio/television,3399,unknown/ no savings account,>= 7 years,2,male:single,none,3,"if not A121/A122 : car or other, not in attribute 6",37,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,no,yes,1
>= 200k,12,delay in paying off in the past,car (new),2247,< 100k,1 - 4 years  ,2,female:divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",36,stores,own,2,skilled employee / official,1,yes,yes,1
no checking account,6,exist paid till now,furniture/equipment,1766,< 100k,1 - 4 years  ,1,male:married/widowed,none,2,if not A121 : building society savings agreement/ life insurance,21,none,rent,1,skilled employee / official,1,no,yes,1
<0,18,exist paid till now,furniture/equipment,2473,< 100k,unemployed,4,male:single,none,1,"if not A121/A122 : car or other, not in attribute 6",25,none,own,1,unemployed/ unskilled  - non-resident,1,no,yes,0
